Symbol,NSAF_SpC_ratio,hESC_Ln_NSAF,hNSC_Ln_NSAF,t_test_p,color
A1CF,1.417909236,-12.9662978,-13.31548121,,gray
A2LD1,0.309663774,-12.20711119,-11.03484302,,gray
A2M,1.560609251,-14.01030961,-14.4553859,,gray
A2ML1,0.619327896,-14.45874561,-13.97962518,,gray
AAAS,1.291577156,-9.405637162,-9.661501235,0.041918321,green
AACS,1.33430321,-9.844654871,-10.13306409,0.277176642,gray
AAGAB,0.576904425,-10.43822217,-9.888143503,0.491248168,gray
AAK1,2.247147036,-10.16357219,-10.97323362,0.045567178,red
AAMP,1.852424948,-9.127388309,-9.743883872,0.0877927,gray
AARS,1.329074534,-7.538134839,-7.8226177,0.0013094,green
AARS2,0.706696971,-10.32809862,-9.9809453,0.108539148,gray
AARSD1,1.029979798,-9.683601155,-9.713140344,0.896895057,gray
AASDH,0.390152147,-14.1779186,-13.23670011,,gray
AASDHPPT,0.597226606,-8.825440748,-8.309982085,0.070608261,gray
AASS,1.475830278,-7.31947832,-7.708699051,0.007933665,green
AATK,0.780305009,-14.40215361,-14.15408321,,gray
ABCA1,1.330185571,-13.24931284,-13.5346313,,gray
ABCA10,1.238656992,-14.28710709,-14.50113482,,gray
ABCA12,0.84055809,-14.04020605,-13.86651684,,gray
ABCA13,0.387996992,-13.94834963,-13.00159194,0.423171226,gray
ABCA17P,1.238657736,-13.74912761,-13.96315593,,gray
ABCA2,1.130291454,-13.66430647,-13.78678199,,gray
ABCA4,0.983122706,-14.07722566,-14.06020432,,gray
ABCA6,0.780305429,-14.29411975,-14.04604989,,gray
ABCA9,0.689054745,-13.87617115,-13.50373659,,gray
ABCB4,0.780304674,-14.33596525,-14.08789442,,gray
ABCB6,3.121225291,-12.7572055,-13.89543115,,gray
ABCB7,0.643096311,-10.2307504,-9.789289621,0.357488452,gray
ABCB8,0.513274272,-13.77654275,-13.10959781,,gray
ABCB9,1.560610416,-13.35575514,-13.80083217,,gray
ABCC1,0.614118765,-10.78280379,-10.29523684,0.002000231,green
ABCC11,0.983122253,-13.71481099,-13.69778919,,gray
ABCC12,1.04850639,-14.09573877,-14.14310543,,gray
ABCC2,0.619328496,-14.51945003,-14.04033057,,gray
ABCC4,0.180841867,-13.64792902,-11.93779673,0.022604389,blue
ABCC5,1.560610765,-13.9848867,-14.42996396,,gray
ABCC8,2.985333813,-12.7392357,-13.83294727,,gray
ABCC9,3.215855371,-12.18167581,-13.34976919,0.224482797,gray
ABCD1,2.250789873,-12.26860748,-13.07988869,0.215596283,gray
ABCD3,8.179924203,-11.35341378,-13.45509667,0.003894695,red
ABCD4,3.572907675,-12.2931504,-13.56653014,,gray
ABCE1,1.32969167,-7.909809252,-8.194756341,0.045171837,green
ABCF1,0.969433665,-8.232469119,-8.20142589,0.536105253,gray
ABCF2,1.491541085,-8.99715673,-9.396966601,0.004452417,green
ABCF3,1.986863162,-9.465714705,-10.1522718,0.009662188,green
ABCG2,1.560611381,-13.19920804,-13.64428569,,gray
ABHD10,0.621446754,-9.178397512,-8.702692468,0.065718614,gray
ABHD11,0.261475083,-11.54294979,-10.2015335,0.001007466,blue
ABHD12,0.902915986,-9.291721758,-9.189595989,0.65837293,gray
